Column1;Adlar;Tarihler;Yorumlar;Satýcý;Begenme
0;ÖK;13 Ekim 2022, Perþembe;Gayet güzel bir telefon. Kameralar bataryasý iþlemcisi ekraný ben beðendim tavsiye edilir. Hemen kargoya verildi. Aldýðýmda biraz daha uygundu hemde hepsiburada indirim kampanyasý vardý.;Hepsiburada;7
1;ÝK;06 Nisan, Per;Telefonum hepsi jet ile sorunsuz þekilde geldi, Telefonu beðenmeyenleri anlamýyorum bu telefon oyun telefonu veya beklentilerin üstünde video ve fotoðraf telefonu deðil,  Günlük kullaným( Alo desin) ve sosyal medyada gezinti , normal fotoðraf ve video çekim telefonu bu, aþýrý bir beklenti içinde olanlar uzak dursun,  Þarjý kullanýma göre 1,5 gün ile 3 güne yakýn gidiyor,  ben memnunum yukarýda yazdýðým özelliklerinde bir telefon istediðim için tam bana göre;Hepsiburada;0
2;SY;19 Kasým 2022, Cumartesi;Anneme aldýk güzel bi telefon kamerasý beklediðimden daha iyi çýktý alýnýr ????;gala iletiþim;3
3;NÇ;26 Kasým 2022, Cumartesi;Telefonum bozuldu aldim çok memnun kaldým bu fotoðrafta telefondan çektiðim bir resim;ANKATEKNOB;9
4;RA;09 Mayýs 2022, Pazartesi;Ürünü babam için aldýk. Gayet kullanýþlý. Normal sesli konuþmada ses netliði gayet iyi. Görüntülü konuþmada ön kamera yeterince tatmin edici. Arka kameralar da gayet yeterli. Çok profesyonel çekimler yapmayacaksanýz gayet ideal. Malzeme kalitesi de güzel. Kargolama iyiydi, pakette herhangi bir dezenformasyon yoktu. Orijinal kutusunda geliyor. Ýçerisinde þarj kablosu ve þarj adaptörü çýkýyor. Avrupa iletiþime teþekkürler. Ürünün faturasý e-fatura olarak da gönderildi. Rahatlýkla alabilirsiniz. Emeði geçenlere teþekkürler.;Avrupa;14
5;MA;17 Temmuz 2022, Pazar;Teþekkürler Sorunsuz geldi içinden þarj kafasý ve USB sarz kablosu çýktý kulaklýk cikmiyor fatura içinde geldi;SKY GSM KOZMETÝK;10
6;HG;07 Mart, Sal;ürün bir günden daha kýsa sürede elime ulaþtý, beklediðimiz gibi bir telefon annem için aldým gayet baþarýlý ve yeterli. Teþekkürler Hepsiburada;Hepsiburada;2
7;SY;08 Mayýs 2022, Pazar;Tavsiye ederim 10 numara;Avrupa;9
8;ÖD;21 Aralýk 2022, Çarþamba;Gerçekten bu fiyata alýnabilecek en iyi telefon diyebilirim. Gerek kamerasý, gerek pil ömrü gerekse de iþlemcisi gerçekten harika. Ayrýca samsung 4 yýl güncelleme sözü verince inanýn tadýndan yenmez bir telefon oldu. Ben telefona 30-40 bin TL verenlere gerçekten anlam veremiyorum. En nihayetinde bu telefon en fazla 5 yýl sonra kullaným dýþý kalacak. Bu telefonda ihtiyaçlarý gerçekten çok güzel karþýlýyor. Tavsiye ederim;heybeden;7
9;EK;25 Ekim 2022, Salý;"Güzel ve kaliteli diyebilirim 
Paketleme harika çok beðendim almak isteyen olursa tavsiye ederim";SAMLÝNE;2
10;ÇO;21 Mart, Sal;Þimdilik sorun yok umarým da olmaz þuan memnunuz.;Hepsiburada;0
11;MA;05 Ocak, Per;A23 almýþtým 2 ay önce ve tekrar ikinciyi aldým memnunum A53 ile ayný Telefon sadece Ram farký var A23 4 A 53 8 Ram aradaki fiyat farký ise 4.000 TL bence A53 alýp bu kadar fark vermeye gerek yok görsel hersey ayný ben memnunum ve tavsiye ederim yalnýz kýlýf tercih edilirken þeffaf kýlýf kullanýn sert ve sürmeli kýlýflar kullanýrsanýz direkt telefonun arkasýný çiziyor;çagri iletiþim;3
12;UE;17 Kasým 2022, Perþembe;Teþekkürler;Avrupa;1
13;ÝK;18 Mart, Cts;Hatasýz darbesiz geldi,  iþin içinde hepsi burada ve hepsi Jet varsa hiç korkmadan telefon alabilirsiniz, ben maðaza tercihimi satýcý olarak hepsi burada olarak  tercih ediyorum, vallahi özellikleri hakkýnda fazla bir bilgim yok,Ýnternet ortamýnda bildiðimiz, ama ben rengi için aldým;Hepsiburada;0
