,Adlar,Tarihler,Yorumlar,Satıcı,Begenme
0,SK,"19 Haziran 2021, Cumartesi",Niye bu kadar kötü yorum var anlamadım. Ben gayet memnun kaldım. Sesi biraz daha yüksek olabilirdi onun dışında bir sıkıntısı yok. Anc ve ambiyans mod gayet iyi çalışıyor. Özellikle ambiyans mod çok iyi tavsiye ederim. Sorununuz varsa cevaplayabilirim.,Hepsiburada,16
1,CC,"15 Ağustos 2022, Pazartesi","Yıl oldu kullanıyorum, sapa sağlam. Dış sesi komple kesiyor. Bir de müzik hafif açın, hiç birşey duymuyor sunuz. Benim gibi konsantre olmak isteyenler için ideal. Düşünmeden alın.",Hepsiburada,1
2,AÖ,"30 Ekim 2021, Cumartesi",Ürün süper ses gayet yeterli bence kulaklığın üstünden sesi açmayı unutmayın yoksa ses az diye yorum atarsınız 😂 anc güzel çalışıyor mikrofon güzel basslar tizler kararında müzikten zevk alıyorsunuz kulaktan düşme ihtimali yok ve kutusu cidden süper ters çevirip salladım düşmüyor kulaklıklar ayrıca kutu kapalıyken salladım kapak asla açılmıyor mıknatısları gerçekten iyi,Hepsiburada,5
3,SY,"04 Kasım 2021, Perşembe",Ürün gayet yeterli. Ses kalitesi temiz. Yalni anc açıkken biraz seste düşüş yaşanıyor. Şarj süresi bahsedildiği gibi. Kapak açıldığında otomatik bağlanmıyor. Kulaklıkları çıkartmanız gerek .anc seslerin yüzde 50 sini absorbe ediyor. Fiyatınin üzerinde bir ürün .sırf anc si için alınabilir.,Hepsiburada,4
4,HY,"20 Nisan 2021, Salı","+Bluetooth 5.1 olması çok güzel
+Suya ve Toza dayanıklı
+Anc(Aktif Gûrûltû Önleme) modu gayet yeterli
+Sesi çok net ve temiz 
+Basslar çok güzel
+Şarj Süresi Çok uzun Gayet yeterli
+Çok şık Ve Kaliteli Malzeme kullanılmış
- Sesi birazdaha fazla olsa çok daha güzel olurdu . Bence Kabul edilebilir",Hepsiburada,9
5,AK,"07 Temmuz 2021, Çarşamba","Tam bir F/P ürünü anc dış sesi %50 kesiyor. ilk anc li kulaklığım oldu, açıkçası bu teknolojiye pek inanmıyordum ama işe yarıyormuş, ses olarak f/p ürünü bu fiyata kristal ses bekleyemeyiz tabiii ama baslar güzel ve doyurucu tizler midler güzel ses yüksekliği normal son ses tatmin ediyor, dokunmatikler çalışıyor",Hepsiburada,4
6,CK,"01 Kasım 2021, Pazartesi",Ürün bugün birgün sonra geldi şuan test ediyorum. Ses kalitesi ve şarj süresi gayet güzel. Sesler net başlar yeterli benim için. İlerde test aşaması bittikten sonra tekrar değerlendireceğim.,Hepsiburada,2
7,AG,"09 Mayıs 2022, Pazartesi",Gayet güzel anc özelliği gayet iyi çalışıyor malzeme kalitesi çok iyi kesinlikle tavsiye ederim.,Hepsiburada,0
8,IA,"02 Ocak 2022, Pazar",Aktif gurultu engelleme denilen anc mode  guzel calisiyor. Fakat anc acikken sarji 4 5 saat de bitiyor. Yine de fiyat performamsi iyi,Hepsiburada,0
9,UU,"29 Haziran 2021, Salı",Kulaklık BAŞARILI ancak EFSANE TESLİMAT tam bir FİYASKO. EFSANE TESLİMAT seçerseniz EV HAPSİNE hazır olun.,Hepsiburada,9
10,EG,"27 Ekim 2021, Çarşamba",Öncesinde daha pahali marka aldim ama bununkadar dayanıklı ve kullanışlı cikmadi.. Beni her konuda memnun etti..👌,Hepsiburada,2
11,OK,"25 Temmuz 2021, Pazar","Ürünün ses kalitesi fiyatına ve boyutuna göre baya iyi, mikrofonunu ev ortamında test ettim gayet iyi ve yeterli. Anc gayet iyi çalışıyor.Ortam sesi modunu açtığınızda kulağınızda kulaklık yokmuşçasına etrafı duyabiliyorsunuz.",Hepsiburada,2
12,MG,"21 Mayıs 2022, Cumartesi",Müthiş bi ürün kesinlikle alın.,Hepsiburada,0
13,EE,"21 Nisan 2022, Perşembe",Sesi süper.,Hepsiburada,0
14,CD,"05 Ekim 2021, Salı",Ürün tam bir f/p ürünü. Düşünmeden alın.,Hepsiburada,1
15,UA,"28 Ocak 2022, Cuma",F/P mükemmel,Hepsiburada,0
16,EŞ,"15 Ağustos 2021, Pazar",Ürün çok iyi ama kaybettim ya cidden active voice cancelling olan bu kadar ucuza bulamazsınız.,Hepsiburada,1
17,MK,"22 Haziran 2021, Salı","Ürünü indirimde aldım. Haylou GT1 Plus’dan bu modele geçtim. O modelin bassları beni tatmin etmediği için sürekli iPhone kulaklığıyla müzik dinlerdim. Bu modeli alınca gördüm ki ben müzik dinlemiyormuşum. Kulağa müthiş oturuyor, ambiyans modu gayet iyi, Aktif gürültü engelleyici de aynı şekilde gayet iyi çalışıyor. Bende SoundLiberty 53 Pro da var ama bunun bassları bir başka gerçekten. Kutusunun kalitesi, açma kapama hissiyatı falan zaten baya hoş. Silikonlu olduğu için bassları çok daha iyi hissedebiliyorsunuz. Telefonda performansı gayet iyi, bilgisayarda Windows ses ayarlarından Bass Boost, Headphone Virtualization ve Loudness Equalization özelliklerini aktif ederseniz, telefondan çok çok daha müthiş bir ses alıyorsunuz, titretiyor resmen. Parasının hakkını kesinlikle kat kat fazlasıyla veriyor, son ses seviyesinde bile gayet temiz ve güzel ses veriyor. Haylou GT1 Plus kulağımdan düşecek gibi olurdu, elimi falan yıkarken düşmesin diye omuzumla kulağıma bastırırdım ama bununla istesem uçaktan paraşütle atlayım düşmeyeceğine eminim. O kadar sağlam oturdu kulağıma. Ses izolasyonu da çok iyi Haylou biraz fazla veriyordu dışarıya ama bu full sesteyken bile yanınıza biri otursa ne dinlediğinizi zor anlar. Daha nasıl övebilirim bilmiyorum ama düşünmeden alın. Gerçekten uzun zamandır aldığım en iyi kararlardan biri oldu. Eksi olarak şunu söyleyebilirim, 1.si mikrofon için alıyorsanız almayın gerçekten iyi değil, 2.si benim kulağım ne küçük ne büyük, eğer kulağı çok küçük biriyseniz kulaklık büyük gelir, kulağınıza oturmaz diye düşünüyorum. Tek eksileri bu olabilir. Alın aldırın çok model araştırmadım. TaoTronics ne kadar kötü olabilir ki dedim. İyi ki demişim gerçekten mükemmel. ;)👍",Hepsiburada,8
18,EG,"27 Temmuz 2021, Salı",Diğer bluetooth kulaklıklara nazaran biraz fazla büyük ama zaman geçtikçe alışıyorsunuz. Aktif gürültü engelleme özelliği ve ambiyans moduna sahip olması gerçekten çok iyi. Gürültü engelleme özelliği muhteşem çalışıyor. Yalıtımı mükemmel. Ambiyans modu da çok başarılı. Bluetooth 5.1 özelliğine sahip bir kulaklık. Herhangi bir bağlantı sorunu yaşamadım. Ses kalitesini beğendim. Pürüzsüz bir ses veriyor. Ses seviyesi ise aynı fiyat bandındaki kulaklıklardan biraz düşük ama çok büyük bir fark yok. En sevmediğim şey ise kulaklıkların ışığının sürekli yanması. Her iki kulaklığın ışığı da 10 saniyede bir yanıp sönüyor. Sabahları belli olmuyor ama akşamları biraz rahatsız ediyor.,Hepsiburada,5
19,BP,"10 Ocak 2022, Pazartesi",Onceden 79 modelini kullaniyordum. Bu acik ara farkla cok daha iyi. Ses kalitesi bas boguklugu harici guzel. Samsung telefonlarda Sound Assistant uygulamasini indirip Concert Hall ayari acilirsa gayet guzel surrounding veriyor. Araba otobus trafik dis ses gibi bas sesleri cok cok iyi kesiyor. Tizlerde pek iyi degil aktif gurultu engellemesi. Sarji da gayet yeterli. Malzeme kalitesi de gayet iyi. Şikayet edenleri anlamiyorum. Fiyatina gore iyi.,Hepsiburada,1
20,BÖ,"07 Aralık 2021, Salı",3 aydır kullanıyorum. Kulaklığın ses kalitesi tiz ve bassları çok güzel. Ayrıca malzeme kalitesi kaliteli hissettiriyor. Mikrofon kalitesini pek beğenmedim gürültülü ortamlarda karşı taraf sesinizi net alamıyor. Ayrıca anc olması mükemmel bir şey. Kulaklığın şarjı gayet yeterli. Son olarak dokunmatik kontrollere nazik davranmazsanız algılamıyor. Bunun dışında bir şüpheniz olmasın fiyatına kesinlikle değer bir kulaklık.,Hepsiburada,1
21,RP,"06 Nisan 2022, Çarşamba",Ürün gayet iyi yüksek sesli ortamda çalışmama rağmen dış sesi hiç almıyor müzik açmadığım halde bile çok az geliyor  dışardaki ses anc si için alınır,Hepsiburada,0
22,HG,"26 Kasım 2021, Cuma",Ürünün bağlantı hızı gayet iyi. Ses kalitesine gelinceye; basları gayet güzel ve ses güçlü ama kristal ses netliği üst düzey bir kulaklık gibi değil. Konuşmalarda mikrofon maalesef yetersiz. ANC başarılı şekilde çalışıp izolasyon yapıyor. Tavsiye edilir.,Hepsiburada,1
23,EA,"17 Haziran 2021, Perşembe","ANC için f/p ürünü. Açık havada özellikle gürültülü bir ortamdaki telefon görüşmeleri için mikrofon performansı tatmin etmeyecektir. Onun haricinde malzeme kalitesi, ses kalitesi ve yüksekliği, aktif gürültü engelleme ve şeffaf mod gayet güzel.",Hepsiburada,3
24,SÇ,"05 Temmuz 2021, Pazartesi",Oldukça temiz sesi var tavsiye ederim.,Hepsiburada,2
25,SK,"23 Haziran 2021, Çarşamba",Genel olarak iyi ama şarj konusunda sıkıntı 2 -3 gün amca şarjı gidiyor onu bilerek alın. Sesi az ama kaliteli mikrofon güzel kötü yorumlara çok aldırış etmeyin bu fiyata böyle bir kulaklık yok. Uygula desteği yok olursa gerçekten güzel olurdu.,Hepsiburada,2
26,AC,"22 Ocak 2022, Cumartesi","Ürünün ses kalitesi benim içim gayet yeterli, aldığım zaman basslar konusunda biraz endişeliydim ama bassları gayet yeterli şekilde veriyor tabii ki de bass hoparlörü yok fakat ses olarak basslarda cızırtı vs. yok ürün genel anlamda çok güzel mikrofonu sizin sesinizi çevre seslere göre daha az alıyor bunun dışında gayet güzel",Hepsiburada,0
27,YG,"17 Aralık 2022, Cumartesi","Sağlam, fiyat özellikler dengeli",Hepsiburada,0
